name,expansion,army_type,unique_unit,unique_tech,team_bonus,civilization_bonus,image,unique_buildings
Aztecs,The Conquerors,Infantry and Monk,Jaguar Warrior;Elite Jaguar Warrior,Garland Wars;Atlatl,Relics generate +33% gold,Start the game with an Eagle Scout;Villagers carry +3 extra resources;All military units are created 11% faster;Monks gain 5 HP for every researched Monastery technology;50 extra starting gold is received after completing the first Town Center,aztecs,
Bengalis,Dynasties of India,Elephants and Ships,Ratha (Melee);Elite Ratha (Melee);Ratha (Ranged);Elite Ratha (Ranged),Paiks;Mahayana,Trade units yield 10% food in addition to gold.,Elephant units receive -25% bonus damage and are more resistant to conversion;Town Centers spawn 2 Villagers when the next Age is reached;Ships regenerate 15 HP per minute;Monks +3/+3P armor;Cavalry units +2 attack vs Skirmishers,bengalis,
Berbers,The African Kingdoms,Cavalry and Naval,Camel Archer;Elite Camel Archer;Genitour;Elite Genitour,Kasbah;Maghrabi Camels,Genitours are available at the Archery Range.,Villagers move +5%/+10% faster in Dark/Feudal Age;Stable units are 15%/20% cheaper in the Castle/Imperial Age.;Ships move +10% faster.,berbers,
Bohemians,Dawn of the Dukes,Gunpowder Units and Monks,Hussite Wagon;Elite Hussite Wagon;Houfnice,Wagenburg Tactics;Hussite Reforms,Markets work 80% faster,Blacksmiths and Universities cost -100 wood;Chemistry and Hand Cannoneer available in Castle Age;Spearman-line deals +25% bonus damage;Fervor and Sanctity affect Villagers;Mining Camp technologies are free,bohemians,
Britons,Age of Kings,Foot Archer,Longbowman;Elite Longbowman,Yeomen;Warwolf,Archery Ranges work 10% faster,Town Centers cost -50% wood upon reaching the Castle Age;Foot archers (excluding Skirmishers) have +1 range in Castle Age and +1 in Imperial Age (for +2 total);Shepherds work 25% faster,britons,
Bulgarians,Definitive Edition,Infantry and Cavalry,Konnik;Elite Konnik;Konnik (Dismounted);Elite Konnik (Dismounted),Stirrups;Bagains,Blacksmiths work 80% faster.,Militia line units are upgraded for free;Town Centers cost -50% stone (except for starting TC);Blacksmith and Siege Workshop technologies cost -50% food;Can build Krepost,bulgarians,Krepost
Burgundians,Lords of the West,Cavalry,Coustillier;Elite Coustillier;Flemish Militia,Burgundian Vineyards;Flemish Revolution,Relics generate food in addition to gold,Economic upgrades cost -33% food and are available one Age earlier than other civilizations;Stable technologies are 50% cheaper;Gunpowder units gain +25% attack;Cavalier upgrade available in the Castle Age,burgundians,
Burmese,Rise of the Rajas,Elephants and Monks,Arambai;Elite Arambai,Howdah;Manipur Cavalry,Relics are visible on the map from the game start.,Lumber Camp technologies are free;Battle Elephants have +1/+1 armor;Infantry units have +1/+2/+3 attack in the Feudal/Castle/Imperial Age;Monastery technologies are 50% cheaper,burmese,
Byzantines,Age of Kings,Defensive,Cataphract;Elite Cataphract,Greek Fire;Logistica,Monks +100% heal speed,"Buildings (except gates) have +10% HP in Dark Age / +20% HP in Feudal Age  / +30% in Castle Age / +40% in Imperial Age;Spearman, Skirmisher and Camel lines cost 25% less;Fire Ships attack 20% faster;Imperial Age costs -33%;Town Watch is free",byzantines,
Celts,Age of Kings,Infantry and Siege Weapons,Woad Raider;Elite Woad Raider,Stronghold;Furor Celtica,Siege Workshops work 20% faster,Infantry moves 15% faster starting from Feudal Age;Lumberjacks work 15% faster;Siege weapons fire 20% faster;Sheep cannot be stolen if within one Celt unit's line of sight,celts,
