name,id,expansion,age,develops_in,cost,build_time,applies_to,description,image,civ,type
Anarchy,0,Age of Kings,Castle,Castle,"{""Food"": 450, ""Gold"": 250}",60,Goths,Allow the creation of Huskarls in barracks,unique-tech-castle,Goths,Unique
Andean Sling,1,The Forgotten,Castle,Castle,"{""Food"": 200, ""Gold"": 300}",40,Skirmishers;Slingers,Skirmisher and Slinger minimum range removed;Slingers +1 attack,unique-tech-castle,Incas,Unique
Arbalester,2,Age of Kings,Imperial,Archery Range,"{""Food"":450, ""Gold"": 400}",50,Crossbowman,Upgrade to Arbalest,arbalester,,Unit
Architecture,3,Age of Kings,Imperial,University,"{""Food"": 300, ""Wood"": 200}",70,Buildings;Tower,"Buildings +10% HP, +1/+1 armor, and +3 building armor",unique-tech-imperial,,Other
Arquebus,4,The African Kingdoms,Imperial,Castle,"{""Food"": 700, ""Gold"": 400}",40,Gunpowder Units;Bombard Towers,Gunpowder units fire more accurately at moving targets. Increases projectile speed of Bombard Cannons and Bombard Towers by +0.2,unique-tech-imperial,Portuguese,Unique
Arrowslits,5,The African Kingdoms,Imperial,University,"{""Food"": 250, ""Wood"": 250}",25,Watch Tower/Guard Tower/Keep/Donjon,Watch Towers/Guard Towers/Keeps +1/+2/+3 attack,arrowslits,,Other
Arson,6,The African Kingdoms,Castle,Barracks,"{""Food"": 150, ""Gold"": 50}",25,Infantry,Infantry +2 attack vs buildings,arson,,Other
Artillery,7,Age of Kings,Imperial,Castle,"{""Food"": 600, ""Gold"": 650}",40,Turks;Tower;Galleon;Cannon,Bombard units +2 range,unique-tech-imperial,Turks,Unique
Atheism,8,The Conquerors,Imperial,Castle,"{""Food"": 500, ""Wood"": 300}",60,Huns,+100 years Wonder/Relic victory time and -50% Spies/Treason cost,unique-tech-imperial,Huns,Unique
Atlatl,9,The Forgotten,Castle,Castle,"{""Food"": 400, ""Gold"": 350}",40,Skirmishers,Skirmishers +1 attack and range,unique-tech-castle,Aztecs,Unique
Atonement,10,Age of Kings,Castle,Monastery,"{""Gold"": 325}",40,Monks,Monks can convert enemy monks,atonement,,Other
Bagains,11,The Last Khans,Imperial,Castle,"{""Food"": 900, ""Gold"": 450}",40,Militia line,Militia line units +5 armor,unique-tech-imperial,Bulgarians,Unique
Ballistas,12,Return to Rome,Castle,Castle,"{""Food"": 400, ""Gold"": 300}",45,Scorpions;Galley-line,Scorpions fire 33% faster & grants +2 attack to the Galley-line,unique-tech-castle,Romans,Unique
Ballistics,13,Age of Kings,Castle,University,"{""Wood"": 300, ""Gold"": 175}",60,Arrow/Bolt-firing units;Buildings;Bombard Towers,"Archers, Cavalry Archers, Galleys, Castles, and Towers fire more accurately at moving targets",ballistics,,Other
Banking,14,Age of Kings,Castle,Market,"{""Food"": 300, ""Gold"": 200}",50,,Tribute fee 0%,banking,,Other
Bearded Axe,15,Age of Kings,Imperial,Castle,"{""Food"": 400, ""Gold"": 400}",60,Franks;Throwing Axeman,Throwing Axemen +1 Range & +1 Line of Sight,unique-tech-imperial,Franks,Unique
Blast Furnace,17,Age of Kings,Imperial,Blacksmith,"{""Food"": 275, ""Gold"": 225}",100,Infantry;Cavalry,Infantry/cavalry attack +2,blast-furnace,,Other
Block Printing,18,Age of Kings,Imperial,Monastery,"{""Gold"": 200}",55,Monks,Monk conversion range +3,block-printing,,Other
Bloodlines,19,Age of Kings,Feudal,Stable,"{""Food"": 150, ""Gold"": 100}",50,Cavalry;Cavalry Archer;Conquistador,Mounted units +20 HP,bloodlines,,Other
