name,description,expansion,age,created_in,cost,build_time,reload_time,attack_delay,movement_rate,line_of_sight,hit_points,min_range,max_range,attack,melee_armor,ranged_armor,attack_bonus,armor_bonus,special,search_radius,accuracy,blast_radius,image,type,armor_class
Alfred the Alpaca,Cheat unit.,Age of Empires II HD: The Forgotten,Dark,Town Center,,0,2,0,1,6,140,0,0,120,20,20,,,,-1,100,1,alfred-the-alpaca,Cheat,None
Amazon Archer,Fast-moving archer. Strong vs. infantry. Weak vs. cavalry.,Age of Empires II HD: The Forgotten,Dark,Archery Range,,16,1.9,0,1.1,6,45,0,4,5,0,1,,,,-1,80,0,amazon-archer,Unbuildable,Archer
Amazon Warrior,Fast-moving infantry unit. Strong vs. buildings and siege weapons. Weak vs. archers and cavalry. ,Age of Empires II HD: The Forgotten,Dark,Barracks,,20,2,0,1.1,3,45,0,0,8,0,0,,,,-1,100,0,amazon-warrior,Unbuildable,Infantry
Arambai,Burmese unique cavalry archer with a powerful but inaccurate dart attack. Strong vs. infantry and cavalry. Weak vs. archers.,Age of Empires II HD: Rise of the Rajas,Castle,Castle,"{""Wood"": 75,""Gold"": 60}",21,2,0,1.3,7,60,0,5,12,0,1,,,Missed projectiles deal 100% damage too,7,20,0,arambai,Military,Archer;Cavalry Archer;Cavalry;Unique Unit
Arbalester,"Ranged unit. Strong vs. units at long range. Weak vs. Elite Skirmishers, Onagers, and units at close range.",Age of Kings,Imperial,Archery Range,"{""Wood"": 25,""Gold"": 45}",27,2,0.35,0.96,7,40,0,5,6,0,0,"[{""amount"": 3, ""against"": ""Spearmen""}]",,,7,90,0,arbalester,Military,Archer
Archer,Ranged unit. Strong vs. units at long range. Weak vs. Skirmishers and units at close range.,Age of Kings,Feudal,Archery Range,"{""Wood"": 25,""Gold"": 45}",35,2,0.35,0.96,6,30,0,4,4,0,0,,,,6,80,0,archer,Military,Archer
Armored Elephant,A mounted siege unit with high HP.,Dynasties of India,Castle,Siege Workshop,"{""Food"": 120,""Gold"": 95}",36,3,0,0.6,4,180,0,0,4,-2,140,"[{""amount"": 75, ""against"": ""Buildings""}, {""amount"": 25, ""against"": ""Siege Weapons""}]",,Cannot be converted from distance,4,100,0,armored-elephant,Military,Cavalry;War elephant;Siege Weapon;Ram
Bactrian Camel,Unbuildable scout unit.,The Last Khans,Dark,N/A,,N/A,0,0,1.2,4,50,0,0,0,0,0,,,,-1,100,0,bactrian-camel,Unbuildable,Cavalry
Ballista Elephant,Khmer unique elephant equipped with a Scorpion. Can destroy trees. Strong vs. infantry and archers. Weak vs. cavalry and siege weapons.,Definitive Edition,Castle,Castle,"{""Food"": 100,""Gold"": 80}",25,2.5,0,0.8,7,250,0,5,8,0,3,,,,6,100,0,ballista-elephant,Military,Cavalry;War Elephant;Siege Weapon;Unique Unit;Hussite Wagon
Battering Ram,Anti-building siege weapon. Resistant to most ranged attacks. Garrisoned infantry increase speed and attack.,Age of Kings,Castle,Siege Workshop,"{""Wood"": 160,""Gold"": 75}",36,5,0,0.6,3,175,0,0,2,0,180,"[{""amount"": 125, ""against"": ""Buildings""}, {""amount"": 40, ""against"": ""Siege""}]","[{""amount"": -3, ""against"": ""Melee""}]",Can garrison 6 units. Each unit increases speed and damage.,3,100,0,battering-ram,Military,Siege Weapon;Ram
Battle Elephant,"Slow and heavy cavalry. Strong vs. cavalry, infantry, and archers. Weak vs. Monks and Pikemen.",Definitive Edition,Castle,Stable,"{""Food"": 110,""Gold"": 70}",24,2,0,0.85,7,250,0,0,12,1,2,,,,4,100,0.4,battle-elephant,Military,Cavalry;War Elephant
Berserk,Viking unique infantry unit that slowly heals itself. Strong vs. infantry and siege weapons. Weak vs. archers.,Age of Kings,Castle,Castle,"{""Food"": 65,""Gold"": 25}",16,2,0,1.05,3,54,0,0,9,0,1,"[{""amount"": 2, ""against"": ""Eagles""}, {""amount"": 2, ""against"": ""Buildings""}]",,,3,100,0,berserk,Military,Infantry;Unique Unit
Bombard Cannon,Siege weapon with long range. Strong vs. buildings and siege weapons. Weak vs. melee units.,Age of Kings,Imperial,Siege Workshop,"{""Wood"": 225,""Gold"": 225}",56,6.5,0.21,0.7,14,80,5,12,40,2,5,"[{""amount"": 200, ""against"": ""Buildings""}, {""amount"": 40, ""against"": ""Camels""}, {""amount"": 40, ""against"": ""Siege""}, {""amount"": 40, ""against"": ""Stone Defenses""}]",,,14,92,0.5,bombard-cannon,Military,Siege Weapon;Gunpowder Unit
Boyar,"Powerful all-purpose cavalry. Strong vs. infantry and archers. Weak vs. Halberdiers, Heavy Camel Riders, and Monks.",Age of Empires II HD: The Forgotten,Castle,Castle,"{""Food"": 60,""Gold"": 70}",15,1.9,0,1.4,5,100,0,0,12,4,1,,,,4,100,0,boyar,Military,Cavalry;Unique Unit
Camel,Gaia unit.,Age of Kings,N/A,N/A,,N/A,0,0,1.2,2,50,0,0,0,0,0,,,,1,0,0,camel,Gaia,None
Camel Archer,"Berber unique mounted archer. Strong vs. Cavalry Archers and infantry. Weak vs. Pikemen, Skirmishers, and Camel Riders.",Age of Empires II HD: The African Kingdoms,Castle,Castle,"{""Wood"": 50,""Gold"": 60}",25,2,0,1.4,5,55,0,4,7,0,1,"[{""amount"": 4, ""against"": ""Cavalry Archer""}]",,,5,95,0,camel-archer,Military,Archer;Cavalry Archer;Camel;Unique Unit
Camel Rider,"Fast anti-cavalry unit. Strong vs. cavalry. Weak vs. Spearmen, Monks, and archers. (not classified as cavalry)",Age of Kings,Castle,Stable,"{""Food"": 55,""Gold"": 60}",22,2,0,1.45,4,100,0,0,6,0,0,"[{""amount"": 10, ""against"": ""Cavalry""}, {""amount"": 5, ""against"": ""Ships""}, {""amount"": 7, ""against"": ""Camels""}]",,,4,100,0,camel-rider,Military,Camel
Cannon Galleon,"Anti-building siege warship with long range, but cannot attack enemies at close range. Strong vs. buildings. Weak vs. other units.",Age of Kings,Imperial,Dock,"{""Wood"": 200,""Gold"": 150}",46,10,0,1.1,15,120,3,13,50,0,6,"[{""amount"": 200, ""against"": ""Buildings""}, {""amount"": 25, ""against"": ""Siege""}]",,,15,100,0.25,cannon-galleon,Navy,Ship;Gunpowder Unit
Canoe,Small fast-moving boat that fires multiple arrows. Strong vs. land units and buildings.,Age of Empires II HD: The Forgotten,N/A,N/A,,N/A,3,0,1.5,8,70,0,5,7,0,6,,,,8,100,0,canoe,Unbuildable,None
