name,age,cost,build_time,hit_points,line_of_sight,melee_armor,ranged_armor,min_range,max_range,reload_time,attack,special,image,expansion
Archery Range,Feudal,"{""Wood"": 175}",50,1500,5,1,8,0,0,,,Garrison: 10 created units,archery-range,Age of Kings
Archery Range,Castle,"{""Wood"": 175}",50,1800,5,2,9,0,0,,,Garrison: 10 created units,archery-range,Age of Kings
Archery Range,Imperial,"{""Wood"": 175}",50,2100,5,3,10,0,0,,,Garrison: 10 created units,archery-range,Age of Kings
Barracks,Dark,"{""Wood"": 175}",50,1200,5,0,7,0,0,,,Garrison: 10 created units,barracks,Age of Kings
Barracks,Feudal,"{""Wood"": 175}",50,1500,5,1,8,0,0,,,Garrison: 10 created units,barracks,Age of Kings
Barracks,Castle,"{""Wood"": 175}",50,1800,5,2,9,0,0,,,Garrison: 10 created units,barracks,Age of Kings
Barracks,Imperial,"{""Wood"": 175}",50,2100,5,3,10,0,0,,,Garrison: 10 created units,barracks,Age of Kings
Blacksmith,Feudal,"{""Wood"": 150}",40,2100,5,1,8,0,0,,,,blacksmith,Age of Kings
Blacksmith,Castle,"{""Wood"": 150}",40,2100,5,2,9,0,0,,,,blacksmith,Age of Kings
Blacksmith,Imperial,"{""Wood"": 150}",40,2100,5,3,10,0,0,,,,blacksmith,Age of Kings
Bombard Tower,Imperial,"{""Wood"": 25, ""Stone"": 125}",80,2220,10,3,9,1,8,6,120,Garrison 5 units;+40 damage vs ships/camels;Pierce attack,bombard-tower,Age of Kings
Caravanserai,Imperial,"{""Wood"": 175, ""Stone"": 50}",60,2700,6,3,10,0,10,,,Heals and increases the speed of the owner's and allied Trade Carts within its vicinity,caravanserai,Dynasties of India
Castle,Castle,"{""Stone"": 650}",200,4800,10,8,11,1,8,2,11,20 units (support 20 population);max 21 arrows;1st arrow +2 against spearmen;From 2nd arrow +11 damage vs ships/camels;+11 vs stone defense,castle,Age of Kings
Dock,Dark,"{""Wood"": 150}",35,1800,5,0,7,0,0,,,Garrison: 10 created units,dock,Age of Kings
Dock,Feudal,"{""Wood"": 150}",35,1800,5,1,8,0,0,,,Garrison: 10 created units,dock,Age of Kings
Dock,Castle,"{""Wood"": 150}",35,1800,5,2,9,0,0,,,Garrison: 10 created units,dock,Age of Kings
Dock,Imperial,"{""Wood"": 150}",35,1800,5,3,10,0,0,,,Garrison: 10 created units,dock,Age of Kings
Donjon,Feudal,"{""Wood"": 75, ""Stone"": 175}",90,1250,10,1,7,1,8,2,5,Trains Serjeants and attacks enemies. Functions as a prerequisite for Archery Range and Stable,donjon,Lords of the West
Farm,Dark,"{""Wood"": 60}",15,480,0,0,0,0,0,,,Standard = 175 Food;Horse Collar = 250 Food;Heavy Plow = 375 Food;Crop Rotation = 550 Food,farm,Age of Kings
Feitoria,Imperial,"{""Gold"": 350,""Stone"": 300}",120,5200,6,3,10,0,0,,,"Generates 1.6 food, 1.0 wood, 0.7 gold, and 0.3 stone per second without the need of Villagers, but takes up 20 population.",feitoria,The African Kingdoms
Fish Trap,Dark,"{""Wood"": 100}",53,50,1,0,0,0,0,,,Gives 715 Food,fish-trap,Age of Kings
Folwark,Dark,"{""Wood"": 125}",40,1000,6,0,7,0,0,,,Instantly collects 8% of the food provided by seeded or reseeded Farms in a radius of 4 tiles around the Folwark,folwark,Dawn of the Dukes
Fortified Church,Castle,"{""Wood"": 200}",40,2400,10,5,11,1,6,,5,Villagers in the aura influence work 10% faster (Georgians only),fortified-church,The Mountain Royals
Harbor,Castle,"{""Wood"": 150}",35,2000,10,3,10,0,7,3,3,Upgraded version of a Dock that fires arrows,harbor,Rise of the Rajas
Krepost,Castle,"{""Stone"": 350}",150,2600,7,8,11,0,7,,9,"A lesser version of a Castle which can train Konniks, garrison units for protection, and supports 20 population but cannot research technologies.",krepost,The Last Khans
Stone Wall,Castle,"{""Stone"": 5}",8,3000,2,12,12,0,0,,,,stone-wall,Age of Kings
Stone Gate,Feudal,"{""Stone"": 30}",70,1650,6,6,6,0,0,,,+1250 HP with Fortified Wall (Gates parallel to the bottom right edge have 0:30 bt),stone-gate,Age of Kings
Guard Tower,Castle,"{""Wood"": 25, ""Stone"": 125}",80,1500,10,2,8,1,8,2,6,Garrison 5 units;+2 vs spearmen line;+9 damage vs ships/camels;Max 5 arrows,tower,Age of Kings
House,Dark,"{""Wood"": 30}",25,900,1,0,7,0,0,,,Supports 5 population,house,Age of Kings
House,Feudal,"{""Wood"": 30}",25,900,1,1,8,0,0,,,Supports 5 population,house,Age of Kings
House,Castle,"{""Wood"": 30}",25,900,1,2,9,0,0,,,Supports 5 population,house,Age of Kings
House,Imperial,"{""Wood"": 30}",25,900,1,3,10,0,0,,,Supports 5 population,house,Age of Kings
Keep,Imperial,"{""Wood"": 25, ""Stone"": 125}",80,2250,10,3,9,1,8,2,7,Garrison 5 units;+2 vs spearmen line;+10 damage vs ships/camels;Max 5 arrows,tower,Age of Kings
Lumber Camp,Dark,"{""Wood"": 100}",35,1000,5,0,7,0,0,,,,lumber-camp,Age of Kings
Lumber Camp,Feudal,"{""Wood"": 100}",35,1000,5,1,8,0,0,,,,lumber-camp,Age of Kings
Lumber Camp,Castle,"{""Wood"": 100}",35,1000,5,2,9,0,0,,,,lumber-camp,Age of Kings
Lumber Camp,Imperial,"{""Wood"": 100}",35,1000,5,3,10,0,0,,,,lumber-camp,Age of Kings
Market,Feudal,"{""Wood"": 175}",60,2100,4,1,8,0,0,,,,market,Age of Kings
Market,Castle,"{""Wood"": 175}",60,2100,4,2,9,0,0,,,,market,Age of Kings
Market,Imperial,"{""Wood"": 175}",60,2100,4,3,10,0,0,,,,market,Age of Kings
Mill,Dark,"{""Wood"": 100}",35,1000,5,0,7,0,0,,,Max 40 farms queued,mill,Age of Kings
Mill,Feudal,"{""Wood"": 100}",35,1000,5,1,8,0,0,,,Max 40 farms queued,mill,Age of Kings
Mill,Castle,"{""Wood"": 100}",35,1000,5,2,9,0,0,,,Max 40 farms queued,mill,Age of Kings
Mill,Imperial,"{""Wood"": 100}",35,1000,5,3,10,0,0,,,Max 40 farms queued,mill,Age of Kings
Mining Camp,Dark,"{""Wood"": 100}",35,1000,5,0,7,0,0,,,,mining-camp,Age of Kings
Mining Camp,Feudal,"{""Wood"": 100}",35,1000,5,1,8,0,0,,,,mining-camp,Age of Kings
Mining Camp,Castle,"{""Wood"": 100}",35,1000,5,2,9,0,0,,,,mining-camp,Age of Kings
Mining Camp,Imperial,"{""Wood"": 100}",35,1000,5,3,10,0,0,,,,mining-camp,Age of Kings
Monastery,Castle,"{""Wood"": 175}",40,2100,5,2,9,0,0,,,Garrison: 10 created units,monastery,Age of Kings
Monastery,Imperial,"{""Wood"": 175}",40,2100,5,3,10,0,0,,,Garrison: 10 created units,monastery,Age of Kings
Mule Cart,Dark,"{""Food"": 20, ""Wood"": 100}",25,300,4,1,2,0,0,,,"Can garrison in buildings
Automatically moves to the nearest resource when the current site is depleted.",mule-cart,The Mountain Royals
Outpost,Dark,"{""Wood"": 25, ""Stone"": 10}",15,500,6,0,0,0,0,,,+2 Line of sight per age,outpost,Age of Kings
Palisade Gate,Dark,"{""Wood"": 2}",,,,,,0,0,,,,palisade-gate,Age of Kings
Palisade Wall,Dark,"{""Wood"": 2}",5,250,2,2,5,0,0,,,,palisade-wall,Age of Kings
Siege Workshop,Castle,"{""Wood"": 200}",40,2100,4,2,9,0,0,,,Garrison: 10 created units,siege-workshop,Age of Kings
Siege Workshop,Imperial,"{""Wood"": 200}",40,2100,4,3,10,0,0,,,Garrison: 10 created units,siege-workshop,Age of Kings
Stable,Feudal,"{""Wood"": 175}",50,1500,5,1,8,0,0,,,Garrison: 10 created units,stable,Age of Kings
Stable,Castle,"{""Wood"": 175}",50,1800,5,2,9,0,0,,,Garrison: 10 created units,stable,Age of Kings
Stable,Imperial,"{""Wood"": 175}",50,2100,5,3,10,0,0,,,Garrison: 10 created units,stable,Age of Kings
Stone Wall,Feudal,"{""Stone"": 5}",8,1080,2,8,10,0,0,,,,stone-wall,Age of Kings
Town Center,Dark,"{""Wood"": 275,""Stone"": 100}",150,2400,7,3,5,0,6,2,5,15 units (supports 5 population);max 10 arrows;+5 vs all buildings;+5 vs ships/camels,town-center,Age of Kings
Town Center,Feudal,"{""Wood"": 275, ""Stone"": 100}",150,2400,7,4,6,0,6,2,5,15 units (supports 5 population);max 10 arrows;+5 vs all buildings;+5 vs ships/camels,town-center,Age of Kings
Town Center,Castle,"{""Wood"": 275, ""Stone"": 100}",150,2400,7,5,7,0,6,2,5,15 units (supports 5 population);max 10 arrows;+5 vs all buildings;+5 vs ships/camels,town-center,Age of Kings
Town Center,Imperial,"{""Wood"": 275, ""Stone"": 100}",150,2400,7,6,8,0,6,2,5,15 units (supports 5 population);Max 10 arrows;+5 vs all buildings;+5 vs ships/camels,town-center,Age of Kings
University,Castle,"{""Wood"": 200}",60,2100,4,2,9,0,0,,,,university,Age of Kings
University,Imperial,"{""Wood"": 200}",60,2100,4,3,10,0,0,,,,university,Age of Kings
Watch Tower,Feudal,"{""Wood"": 25, ""Stone"": 125}",80,1020,10,1,7,1,8,2,5,Garrison 5 units;+2 vs spearmen line;+7 damage vs ships/camels;Max 5 arrows,tower,Age of Kings
Wonder,Imperial,"{""Wood"": 1000, ""Stone"": 1000, ""Gold"": 1000}",3503,4800,6,3,10,0,0,,,,wonder,Age of Kings
