name,age,develops_in,cost,build_time,applies_to,description,image,civ,type,expansion
Anarchy,Castle,Castle,"{""Food"": 450, ""Gold"": 250}",60,Goths,Allow the creation of Huskarls in barracks,unique-tech-castle,Goths,Unique,Age of Kings
Andean Sling,Castle,Castle,"{""Food"": 200, ""Gold"": 300}",40,Skirmishers;Slingers,Skirmisher and Slinger minimum range removed;Slingers +1 attack,unique-tech-castle,Incas,Unique,The Forgotten
Arbalester,Imperial,Archery Range,"{""Food"":450, ""Gold"": 400}",50,Crossbowman,Upgrade to Arbalest,arbalester,,Unit,Age of Kings
Architecture,Imperial,University,"{""Food"": 300, ""Wood"": 200}",70,Buildings;Tower,"Buildings +10% HP, +1/+1 armor, and +3 building armor",unique-tech-imperial,,Other,Age of Kings
Arquebus,Imperial,Castle,"{""Food"": 700, ""Gold"": 400}",40,Gunpowder Units;Bombard Towers,Gunpowder units fire more accurately at moving targets. Increases projectile speed of Bombard Cannons and Bombard Towers by +0.2,unique-tech-imperial,Portuguese,Unique,The African Kingdoms
Arrowslits,Imperial,University,"{""Food"": 250, ""Wood"": 250}",25,Watch Tower/Guard Tower/Keep/Donjon,Watch Towers/Guard Towers/Keeps +1/+2/+3 attack,arrowslits,,Other,The African Kingdoms
Arson,Castle,Barracks,"{""Food"": 150, ""Gold"": 50}",25,Infantry,Infantry +2 attack vs buildings,arson,,Other,The African Kingdoms
Artillery,Imperial,Castle,"{""Food"": 600, ""Gold"": 650}",40,Turks;Tower;Galleon;Cannon,Bombard units +2 range,unique-tech-imperial,Turks,Unique,Age of Kings
Atheism,Imperial,Castle,"{""Food"": 500, ""Wood"": 300}",60,Huns,+100 years Wonder/Relic victory time and -50% Spies/Treason cost,unique-tech-imperial,Huns,Unique,The Conquerors
Atlatl,Castle,Castle,"{""Food"": 400, ""Gold"": 350}",40,Skirmishers,Skirmishers +1 attack and range,unique-tech-castle,Aztecs,Unique,The Forgotten
Atonement,Castle,Monastery,"{""Gold"": 325}",40,Monks,Monks can convert enemy monks,atonement,,Other,Age of Kings
Aznauri Cavalry,Imperial,Castle,"{""Food"": 550, ""Gold"": 400}",45,Mounted Units,Mounted units take 15% less population space,unique-tech-imperial,Georgians,Unique,The Mountain Royals
Bagains,Imperial,Castle,"{""Food"": 900, ""Gold"": 450}",40,Militia line,Militia line units +5 armor,unique-tech-imperial,Bulgarians,Unique,The Last Khans
Ballistas,Castle,Castle,"{""Food"": 400, ""Gold"": 300}",45,Scorpions;Galley-line,Scorpions fire 33% faster & grants +2 attack to the Galley-line,unique-tech-castle,Romans,Unique,Return to Rome
Ballistics,Castle,University,"{""Wood"": 300, ""Gold"": 175}",60,Arrow/Bolt-firing units;Buildings;Bombard Towers,"Archers, Cavalry Archers, Galleys, Castles, and Towers fire more accurately at moving targets",ballistics,,Other,Age of Kings
Banking,Castle,Market,"{""Food"": 300, ""Gold"": 200}",50,,Tribute fee 0%,banking,,Other,Age of Kings
