name,description,age,created_in,cost,build_time,reload_time,attack_delay,movement_rate,line_of_sight,hit_points,min_range,max_range,attack,melee_armor,ranged_armor,attack_bonus,armor_bonus,special,search_radius,accuracy,blast_radius,image,type,armor_class,expansion
Alfred the Alpaca,Cheat unit.,Dark,Town Center,,0,2,0,1,6,140,0,0,120,20,20,,,,-1,100,1,alfred-the-alpaca,Cheat,None,Age of Empires II HD: The Forgotten
Amazon Archer,Fast-moving archer. Strong vs. infantry. Weak vs. cavalry.,Dark,Archery Range,,16,1.9,0,1.1,6,45,0,4,5,0,1,,,,-1,80,0,amazon-archer,Unbuildable,Archer,Age of Empires II HD: The Forgotten
Amazon Warrior,Fast-moving infantry unit. Strong vs. buildings and siege weapons. Weak vs. archers and cavalry. ,Dark,Barracks,,20,2,0,1.1,3,45,0,0,8,0,0,,,,-1,100,0,amazon-warrior,Unbuildable,Infantry,Age of Empires II HD: The Forgotten
Arambai,Burmese unique cavalry archer with a powerful but inaccurate dart attack. Strong vs. infantry and cavalry. Weak vs. archers.,Castle,Castle,"{""Wood"": 75,""Gold"": 60}",21,2,0,1.3,7,60,0,5,12,0,1,,,Missed projectiles deal 100% damage too,7,20,0,arambai,Military,Archer;Cavalry Archer;Cavalry;Unique Unit,Age of Empires II HD: Rise of the Rajas
Arbalester,"Ranged unit. Strong vs. units at long range. Weak vs. Elite Skirmishers, Onagers, and units at close range.",Imperial,Archery Range,"{""Wood"": 25,""Gold"": 45}",27,2,0.35,0.96,7,40,0,5,6,0,0,"[{""amount"": 3, ""against"": ""Spearmen""}]",,,7,90,0,arbalester,Military,Archer,Age of Kings
Archer,Ranged unit. Strong vs. units at long range. Weak vs. Skirmishers and units at close range.,Feudal,Archery Range,"{""Wood"": 25,""Gold"": 45}",35,2,0.35,0.96,6,30,0,4,4,0,0,,,,6,80,0,archer,Military,Archer,Age of Kings
Armored Elephant,A mounted siege unit with high HP.,Castle,Siege Workshop,"{""Food"": 120,""Gold"": 95}",36,3,0,0.6,4,180,0,0,4,-2,140,"[{""amount"": 75, ""against"": ""Buildings""}, {""amount"": 25, ""against"": ""Siege Weapons""}]","[{""amount"": 7, ""against"": ""Cavalry""}, {""amount"": 17, ""against"": ""War Elephant""}]",Cannot be converted from distance,4,100,0,armored-elephant,Military,Cavalry;War Elephant;Siege Weapon;Ram,Dynasties of India
Bactrian Camel,Unbuildable scout unit.,Dark,N/A,,N/A,0,0,1.2,4,50,0,0,0,0,0,,,,-1,100,0,bactrian-camel,Unbuildable,Cavalry,The Last Khans
Ballista Elephant,Khmer unique elephant equipped with a Scorpion. Can destroy trees. Strong vs. infantry and archers. Weak vs. cavalry and siege weapons.,Castle,Castle,"{""Food"": 100,""Gold"": 80}",25,2.5,0,0.8,7,250,0,5,8,0,3,,,,6,100,0,ballista-elephant,Military,Cavalry;War Elephant;Siege Weapon;Unique Unit;Hussite Wagon,Definitive Edition
Battering Ram,Anti-building siege weapon. Resistant to most ranged attacks. Garrisoned infantry increase speed and attack.,Castle,Siege Workshop,"{""Wood"": 160,""Gold"": 75}",36,5,0,0.6,3,175,0,0,2,0,180,"[{""amount"": 125, ""against"": ""Buildings""}, {""amount"": 40, ""against"": ""Siege""}]","[{""amount"": -3, ""against"": ""Melee""}]",Can garrison 6 units. Each unit increases speed and damage.,3,100,0,battering-ram,Military,Siege Weapon;Ram,Age of Kings
